,"('V_CO', 'day')","('V_CO', 'night')","('V_PE1', 'day')","('V_PE1', 'night')","('V_PE2', 'day')","('V_PE2', 'night')","('CV3', 'day')","('CV3', 'night')",1,2,3,4,5,6,7,8,9
170,1,0,1,0,1,0,1,0,0.9124,0.7552,0.3246,0.7298,0.7538,0.5076,108556.4855,15810.1738,0.7361
171,1,0,1,0,1,0,1,1,0.9108,0.7552,0.317,0.7279,0.7497,0.5076,108555.7407,15929.4775,0.7319
172,1,0,1,0,1,1,0,0,0.9113,0.7982,0.3203,0.7244,0.7528,0.5601,88907.3737,16024.5166,0.7279
173,1,0,1,0,1,1,0,1,0.9109,0.7982,0.3198,0.7243,0.7518,0.5601,88897.218,16024.7031,0.7276
174,1,0,1,0,1,1,1,0,0.9108,0.7552,0.3169,0.7266,0.7495,0.5076,108554.4951,15922.4531,0.7301
175,1,0,1,0,1,1,1,1,0.9113,0.7552,0.3179,0.7283,0.7503,0.5076,108554.3299,15905.209,0.7326
176,1,0,1,1,0,0,0,0,0.9102,0.8087,0.3203,0.7276,0.7535,0.5706,84732.5613,16024.8438,0.732
177,1,0,1,1,0,0,0,1,0.9099,0.8059,0.3196,0.7276,0.7529,0.565,86239.3234,16059.2637,0.7319
178,1,0,1,1,0,0,1,0,0.9099,0.8105,0.3199,0.7265,0.7525,0.5675,84736.4772,16007.5898,0.7294
179,1,0,1,1,0,0,1,1,0.9101,0.8105,0.3204,0.7274,0.7527,0.5675,84717.5094,15990.5225,0.7307
180,1,0,1,1,0,1,0,0,0.9099,0.7675,0.3202,0.7272,0.753,0.5266,101627.1192,16042.0098,0.7318
181,1,0,1,1,0,1,0,1,0.9086,0.7721,0.3189,0.725,0.751,0.5319,99784.7511,16059.3984,0.7288
182,1,0,1,1,0,1,1,0,0.9097,0.8105,0.3198,0.7263,0.7521,0.5675,84725.1931,16007.6094,0.729
183,1,0,1,1,0,1,1,1,0.9094,0.8105,0.3197,0.7263,0.7516,0.5675,84726.5341,16007.7969,0.7291
184,1,0,1,1,1,0,0,0,0.9095,0.7982,0.3204,0.7246,0.7525,0.5601,88918.3094,16024.4404,0.727
185,1,0,1,1,1,0,0,1,0.9093,0.7982,0.3201,0.7247,0.7519,0.5601,88898.8548,16041.793,0.7271
186,1,0,1,1,1,0,1,0,0.9094,0.7552,0.3178,0.7278,0.7499,0.5076,108555.1996,15922.2578,0.7307
187,1,0,1,1,1,0,1,1,0.9096,0.7552,0.3182,0.7286,0.7502,0.5076,108554.3463,15939.4492,0.7318
188,1,0,1,1,1,1,0,0,0.9095,0.8084,0.3203,0.7248,0.7524,0.571,84708.1554,16024.4805,0.727
189,1,0,1,1,1,1,0,1,0.9101,0.7982,0.321,0.7274,0.7532,0.5601,88915.2463,16007.4668,0.7313
190,1,0,1,1,1,1,1,0,0.9098,0.7552,0.3184,0.7287,0.7507,0.5076,108555.4099,15922.1348,0.732
191,1,0,1,1,1,1,1,1,0.9095,0.7552,0.3181,0.7284,0.75,0.5076,108556.5072,15939.4639,0.7317
192,1,1,0,0,0,0,0,0,0.9258,0.7379,0.3413,0.7247,0.7785,0.4012,113930.9489,16057.3496,0.7475
193,1,1,0,0,0,0,0,1,0.9266,0.7777,0.3374,0.7251,0.7797,0.5379,96172.1111,16167.9727,0.748
194,1,1,0,0,0,0,1,0,0.9265,0.7968,0.3339,0.7321,0.7806,0.5682,88229.7802,17137.6289,0.7492
195,1,1,0,0,0,0,1,1,0.9271,0.7975,0.329,0.7361,0.7796,0.5678,88056.0238,17232.1562,0.7542
196,1,1,0,0,0,1,0,0,0.9272,0.7971,0.3386,0.7262,0.7816,0.566,88102.9984,16167.8984,0.7487
197,1,1,0,0,0,1,0,1,0.9279,0.7971,0.3388,0.7278,0.7817,0.566,88104.1569,16167.8848,0.7512
198,1,1,0,0,0,1,1,0,0.9289,0.7978,0.3315,0.7392,0.783,0.5682,88058.2438,17231.4648,0.7582
199,1,1,0,0,0,1,1,1,0.927,0.7978,0.3283,0.7373,0.779,0.5682,88059.2285,17249.6875,0.7554
200,1,1,0,0,1,0,0,0,0.9318,0.8137,0.3332,0.7449,0.7823,0.571,82178.5294,16434.5938,0.7634
